"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"關西鎮新力里7鄰排水溝駁坎工程(21-18)","關西鎮","200","200","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"芎林鄉華龍社區發展協會充實設備(26-13)","芎林鄉","98","98","一般建築及設備其它","公共設施工程","芎林鄉公所","無","鋐樺科技"
"竹東鎮東孝社區活動中心修繕工程(28-17)","竹東鎮","90","90","一般建築及設備其它","公共設施工程","竹東鎮公所","無","辦理中"
"新竹縣竹北市東平社區發展協會充實設備(9-10)","竹北市","30","30","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"湖口鄉湖口村排水改善工程(15-5)","湖口鄉","250","250","一般建築及設備其它","公共設施工程","湖口鄉公所","有","宏鴻營造"
"湖口鄉鳳山社區活動中心外側地面凹陷修補工程(16-","1","湖口鄉","93","93","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"新豐鄉中崙村小型工程(18-34)","新豐鄉","8","8","一般建築及設備其它","公共設施工程","新豐鄉公所","開口契約","佶帝企業"
"關西鎮新力里4鄰38號旁道路鋪設水泥路面(22-18)","關西鎮","92","92","一般建築及設備其它","公共設施工程","關西鎮公所","無","開元實業社"
"橫山鄉豐田村路燈工程(27-44)","橫山鄉","16","16","一般建築及設備其它","公共設施工程","橫山鄉公所","無","全宇水電"
"橫山鄉橫山村10鄰擋土牆工程(27-45)","橫山鄉","80","80","一般建築及設備其它","公共設施工程","橫山鄉公所","無","吉成企業社"
"橫山鄉福興村3鄰路燈工程(27-46)","橫山鄉","12","12","一般建築及設備其它","公共設施工程","橫山鄉公所","無","盛良水電"
"尖石鄉梅花村4鄰道路鋪設水泥路面及L溝工程(38-1","8","尖石鄉","98","98","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"關西鎮東安里成功街7巷排水溝工程(21-21)","關西鎮","96","96","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"橫山鄉大山背100地號道路改善工程(27-47)","橫山鄉","50","50","一般建築及設備其它","公共設施工程","橫山鄉公所","無","吉成企業社"
"竹東鎮員崠里東峰路456巷駁坎工程(28-18)","竹東鎮","200","200","一般建築及設備其它","公共設施工程","竹東鎮公所","無","璟德"
"財團法人台灣省天主教會新竹教區附設新竹縣私","立長安老人養護中心充實設備(37-12)","竹東鎮","68","68","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","旭勝儀器"
"橫山鄉南昌村12鄰排水溝工程(37-13)","橫山鄉","300","300","一般建築及設備其它","公共設施工程","橫山鄉公所","無","協豐營造"
"第 10 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"新竹縣關西鎮坪林國民小學充實設備(21-19)","關西鎮","72","72","一般建築及設備其它","公共設施工程","關西鎮公所","逕洽廠商","漢昇公司.文峰教","育"
"湖口鄉中勢村柏油路面工程(16-12)","湖口鄉","98","98","一般建築及設備其它","公共設施工程","湖口鄉公所","無","宏鴻營造"
"新竹縣新豐鄉豐協運動休閒協會添購設備(18-35)","新豐鄉","39","39","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"關西鎮南新里8鄰鋪設水泥路面工程(21-22)","關西鎮","50","50","一般建築及設備其它","公共設施工程","關西鎮公所","無","九洲"
"關西鎮銘傳街鋪設柏油工程(21-23)","關西鎮","40","40","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"新埔鎮文山里9鄰文山路亞東段46巷道路整修工程","(柏油路面)(25-52)","新埔鎮","70","70","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"竹東鎮南華社區發展協會充實設備(30-15)","竹東鎮","30","30","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","正明五金行"
"竹東鎮頭重里富貴街小型工程(30-17)","竹東鎮","98","98","一般建築及設備其它","公共設施工程","竹東鎮公所","有","規劃設計中"
"寶山鄉油田村寶峰路168巷裝設路燈2盞(2-36)","寶山鄉","30","30","一般建築及設備其它","公共設施工程","寶山鄉公所","有","龍昌水電"
"新豐鄉行政大樓充實設備及修繕工程(2-37)","新豐鄉","300","300","一般建築及設備其它","公共設施工程","新豐鄉公所","辦理中","辦理中"
"新豐鄉重興村綠美化工程(2-38)","新豐鄉","200","200","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"芎林鄉秀湖社區發展協會充實設備(26-15)","芎林鄉","30","30","一般建築及設備其它","公共設施工程","芎林鄉公所","無","宏鋒電器行"
"芎林鄉公所充實設備(26-16)","芎林鄉","30","30","一般建築及設備其它","公共設施工程","芎林鄉公所","無","辦理中"
"芎林鄉芎林村490巷道路改善工程(26-17)","芎林鄉","200","200","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"芎林鄉上山村光明街143巷道路改善工程(26-18)","芎林鄉","180","180","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"芎林鄉水坑村4.10鄰道路改善工程(26-19)","芎林鄉","100","100","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"芎林鄉新鳳村8鄰道路路面改善工程(26-20)","芎林鄉","100","100","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"芎林鄉石潭村9鄰46號旁道路改善工程(26-21)","芎林鄉","100","100","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"第 11 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"芎林鄉華龍村2鄰道路改善工程(26-22)","芎林鄉","150","150","一般建築及設備其它","公共設施工程","芎林鄉公所","有","鴻威營造"
"新竹縣芎林鄉水坑村集會所充實設備(26-23)","芎林鄉","28","28","一般建築及設備其它","公共設施工程","芎林鄉公所","無","辦理中"
"橫山鄉新興村4鄰道路改善工程(27-49)","橫山鄉","80","80","一般建築及設備其它","公共設施工程","橫山鄉公所","無","廷生基營造"
"台灣省天主教會新竹教區附設新竹縣私立長安老","人養護中心充實設備(33-20)","竹東鎮","53","53","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","遠百企業公司"
"北埔鄉南埔村7鄰彭宅邊裝設路燈工程(36-22)","北埔鄉","25","25","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"橫山鄉橫山村等村小型工程款(15-6)","橫山鄉","200","200","一般建築及設備其它","公共設施工程","橫山鄉公所","無","兆順土木"
"新埔鎮照門里水泥鋪設工程(15-7)","新埔鎮","30","30","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"新竹縣新豐鄉幸福養生推廣協會添購設備(18-36)","新豐鄉","96","96","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"關西鎮新富里7鄰道路工程(21-24)","關西鎮","30","30","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"關西鎮上林里15鄰水溝加蓋工程(21-25)","關西鎮","95","95","一般建築及設備其它","公共設施工程","關西鎮公所","無","桂堂營造"
"關西鎮新富里7鄰擋土牆工程(21-26)","關西鎮","95","95","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"竹東鎮五豐里路燈工程(28-19)","竹東鎮","30","30","一般建築及設備其它","公共設施工程","竹東鎮公所","無","金順發企業社"
"竹東鎮商華里公園路214巷水溝改善工程(29-26)","竹東鎮","30","30","一般建築及設備其它","公共設施工程","竹東鎮公所","無","九洲"
"新竹縣新豐鄉關懷鄉土發展協會充實設備(33-22)","新豐鄉","90","90","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"寶山鄉寶斗村3鄰新珊一路68巷土地公廟邊裝設路","燈1盞(35-32)","寶山鄉","15","15","一般建築及設備其它","公共設施工程","寶山鄉公所","無","龍昌水電"
"北埔鄉北埔村1鄰中興街44巷邊路燈工程(36-23)","北埔鄉","19","19","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"尖石鄉新樂村水田部落7鄰(拉曼高幹63支2)路燈裝設工程","(","尖石鄉","20","20","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"尖石鄉新樂村2鄰水田高幹25號路燈裝設工程(38-20",")","尖石鄉","20","20","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"第 12 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"尖石鄉新樂村水田部落7鄰183號往184號路段(電力","2合1幹旁)路燈裝設工程(38-21)","尖石鄉","20","20","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"尖石鄉秀巒村田埔1鄰灌溉及飲用水設施(38-22)","尖石鄉","50","50","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"尖石鄉錦屏村比鄰.秀巒村9鄰飲用水設施(11-11)","尖石鄉","100","100","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"寶山鄉新城村新東路水泥路面工程(2-39)","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","逕洽廠商","利逢營造"
"寶山鄉三峰村三峰路68巷駁坎工程(2-40)","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","無","大展土木"
"寶山鄉新城村東崎路擋土牆工程(2-41)","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","無","利逢營造"
"新竹縣新豐鄉松林國民小學(體育組)充實設備(20-14",")","新豐鄉","85","85","一般建築及設備其它","公共設施工程","新豐鄉公所","逕洽廠商","立人體育用品"
"關西鎮石光里10鄰護欄工程(21-27)","關西鎮","50","50","一般建築及設備其它","公共設施工程","關西鎮公所","無","桂堂營造"
"新埔鎮新北里10鄰1號新設路燈2盞(25-53)","新埔鎮","40","40","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"竹東鎮員崠里2鄰新建駁坎工程(31-18)","竹東鎮","100","100","一般建築及設備其它","公共設施工程","竹東鎮公所","無","璟德"
"新竹縣竹東鎮樹杞林客家文化協會充實樂團設備","(31-19)","竹東鎮","95","95","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","政新國際藝術"
"北埔鄉外坪村路燈新設工程(31-20)","北埔鄉","38","38","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文明水電"
"新竹縣竹北市愛馬協會充實設備費(6-13)","竹北市","100","100","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新竹縣博愛國民中學小型工程(隔間)(9-12)","竹北市","92","92","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","雅崎裝修工程"
"竹東鎮南華社區發展協會設備費(32-19)","竹東鎮","35","35","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","豐年鐵櫃行"
"財團法人台灣省天主教會新竹教區附設新竹縣私","立長安老人養護中心充實設備(37-14)","竹東鎮","65","65","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","燦坤3c"
"新竹縣竹東鎮上館國民小學改善教學環境設備(20-","15)","竹東鎮","96","96","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","文袸科技"
"橫山鄉內灣社區發展協會擴音設備(27-51)","橫山鄉","60","60","一般建築及設備其它","公共設施工程","橫山鄉公所","無","辦理中"
"第 13 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"橫山鄉內灣社區發展協會影音設備(27-52)","橫山鄉","20","20","一般建築及設備其它","公共設施工程","橫山鄉公所","無","辦理中"
"新竹縣關西鎮關西國民小學充實圖書館設備(12-9)","關西鎮","90","90","一般建築及設備其它","公共設施工程","關西鎮公所","逕洽廠商","楓橋家具實業"
"湖口鄉境內反射鏡.擋土牆.排水溝工程及信勢村投","影機設備(13-8)","湖口鄉","313","313","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"竹東鎮上坪里路燈工程(28-20)","竹東鎮","45","45","一般建築及設備其它","公共設施工程","竹東鎮公所","無","金順發企業社"
"竹東鎮仁愛里消防設施(28-21)","竹東鎮","80","80","一般建築及設備其它","公共設施工程","竹東鎮公所","辦理中","辦理中"
"新竹縣竹東鎮陸豐國民小學設備費(28-22)","竹東鎮","60","60","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","鉅翰資訊.世茂企","業"
"關西鎮東平里老焿寮3鄰排水溝工程(22-19)","關西鎮","30","30","一般建築及設備其它","公共設施工程","關西鎮公所","無","開元實業社"
"新埔鎮新民里辦公處割草機兩台(23-48)","新埔鎮","28","28","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"尖石鄉秀巒村鎮西堡9鄰飲水灌溉水塔設置(2-43)","尖石鄉","100","100","一般建築及設備其它","公共設施工程","尖石鄉公所","辦理中","辦理中"
"尖石鄉新樂村10鄰煤源部落飲水灌溉水塔設置(2-44",")","尖石鄉","100","100","一般建築及設備其它","公共設施工程","尖石鄉公所","辦理中","辦理中"
"湖口鄉中勢社區發展協會老人會卡拉ok伴唱機設","備(12-10)","湖口鄉","60","60","一般建築及設備其它","公共設施工程","湖口鄉公所","無","辦理中"
"橫山鄉大肚村12鄰路燈工程(27-53)","橫山鄉","23","23","一般建築及設備其它","公共設施工程","橫山鄉公所","有","明新水電"
"橫山鄉橫山村6鄰新庄街160巷新設路燈2盞(27-54)","橫山鄉","25","25","一般建築及設備其它","公共設施工程","橫山鄉公所","有","文明水電"
"橫山鄉橫山社區發展協會視聽設備(27-55)","橫山鄉","50","50","一般建築及設備其它","公共設施工程","橫山鄉公所","有","規劃設計中"
"竹北市尚義里辦公處充實設備(5-7)","竹北市","75","75","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新豐鄉關懷鄉土發展協會充實設備(6-14)","新豐鄉","37","37","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新豐鄉埔和村11鄰道路AC加封工程(17-31)","新豐鄉","30","30","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新埔鎮旱坑里16鄰義民路1段283巷施作仿木欄杆工","程(9-18)","新埔鎮","100","100","一般建築及設備其它","公共設施工程","新埔鎮公所","無","育傑"
"第 14 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"新埔鎮五埔里百好街22巷道路改善工程(23-49)","新埔鎮","78","78","一般建築及設備其它","公共設施工程","新埔鎮公所","無","育傑"
"橫山鄉沙坑村沙坑社區公園環境整理(27-56)","橫山鄉","30","30","一般建築及設備其它","公共設施工程","橫山鄉公所","無","辦理中"
"寶山鄉三峰村三峰一路210巷裝設路燈1盞(35-33)","寶山鄉","15","15","一般建築及設備其它","公共設施工程","寶山鄉公所","無","龍昌水電"
"新豐鄉埔和村11鄰綠美化工程(17-32)","新豐鄉","60","60","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"新埔鎮照門里1鄰駁坎整建工程(25-54)","新埔鎮","45","45","一般建築及設備其它","公共設施工程","新埔鎮公所","無","辦理中"
"竹東鎮大鄉里路燈工程(29-28)","竹東鎮","50","50","一般建築及設備其它","公共設施工程","竹東鎮公所","無","金順發企業社"
"竹東鎮員崠里1鄰產業道路駁坎工程(員崠大池塘","旁)(32-21)","竹東鎮","90","90","一般建築及設備其它","公共設施工程","竹東鎮公所","無","立辰營造"
"關西鎮新富里1-2鄰聯絡道路鋪設柏油路面工程(2-","45)","關西鎮","170","170","一般建築及設備其它","公共設施工程","關西鎮公所","辦理中","辦理中"
"新豐鄉瑞興村瑞興段地號100號農路駁坎工程(16-","13)","新豐鄉","98","98","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"橫山鄉豐田村4鄰排水改善工程(27-57)","橫山鄉","30","30","一般建築及設備其它","公共設施工程","橫山鄉公所","無","必成營造"
"新竹縣竹東鎮原住民家庭文化成長協會充實設備","(39-20)","竹東鎮","100","100","一般建築及設備其它","公共設施工程","竹東鎮公所","辦理中","辦理中"
"關西鎮東平里1鄰駁坎工程(9-17)","關西鎮","100","100","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"竹北市中興社區發展協會充實設備(10-12)","竹北市","25","25","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"竹北市北崙社區發展協會(歌唱班)充實設備(10-13)","竹北市","50","50","一般建築及設備其它","公共設施工程","竹北市公所","無","辦理中"
"新豐鄉松柏社區發展協會充實設備(20-16)","新豐鄉","90","90","一般建築及設備其它","公共設施工程","新豐鄉公所","無","辦理中"
"關西鎮玉山里7-9鄰道路鋪設水泥路面工程(22-20)","關西鎮","92","92","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"關西鎮南新里5鄰里鄰連絡道路水泥路面鋪設(22-21",")","關西鎮","90","90","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"關西鎮東平里1鄰駁坎工程(22-22)","關西鎮","100","100","一般建築及設備其它","公共設施工程","關西鎮公所","無","辦理中"
"第 15 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"     20,495","     20,495"
"           註：","1.本表主辦機關為行政院主計總處。"
"2.本表第一次查填及送達期限為","7月22日前","。"
"合          計"
"第 16 頁，共 16 頁"
