"新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"關西鎮錦山里9鄰鋪設水泥路面工程(21-11)","關西鎮","40","40","一般建築及設備其它","公共設施工程","關西鎮公所","無","桂堂營造"
"竹東鎮民眾服務社充實設備(33-14)","竹東鎮","50","50","一般建築及設備其它","公共設施工程","竹東鎮公所","逕洽廠商","鎮暉事業有限"
"尖石鄉嘉樂村第3號公墓環境綠美化(38-11)","尖石鄉","60","60","一般建築及設備其它","公共設施工程","尖石鄉公所","無","辦理中"
"第 2 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
"竹東鎮大鄉里大林元大籃球場增設路燈工程(39-17)","竹東鎮","40","40","一般建築及設備其它","公共設施工程","竹東鎮公所","無","金順發企業社"
"湖口鄉德盛村27鄰排水溝工程(16-8)","湖口鄉","70","70","一般建築及設備其它","公共設施工程","湖口鄉公所","無","宏鴻營造"
"新埔鎮文山路891巷與929巷巷口新設路燈1盞工程(25-","4","新埔鎮","20","20","一般建築及設備其它","公共設施工程","新埔鎮公所","有","文明水電"
"寶山鄉山湖村環湖一路中段鋪設柏油路面工程(35-2","2","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","無","甲吉土木"
"寶山鄉三峰村4鄰411巷鋪設水泥路面工程(35-23)","寶山鄉","90","90","一般建築及設備其它","公共設施工程","寶山鄉公所","無","甲吉土木"
"新竹縣寶山鄉巡守聯防協會設備費(35-24)","寶山鄉","80","80","一般建築及設備其它","公共設施工程","寶山鄉公所","無","辦理中"
"關西鎮玉山里14鄰產業道路鋪設水泥路面(22-15)","關西鎮","92","92","一般建築及設備其它","公共設施工程","關西鎮公所","無","九洲營造"
"橫山鄉力行村4鄰及11鄰路燈工程(27-33)","橫山鄉","16","16","一般建築及設備其它","公共設施工程","橫山鄉公所","無","盛良水電"
"橫山鄉內灣村6鄰路燈工程(27-34)","橫山鄉","8","8","一般建築及設備其它","公共設施工程","橫山鄉公所","無","盛良水電"
"北埔鄉水磜村2鄰湯宅邊裝設路燈工程(36-13)","北埔鄉","15","15","一般建築及設備其它","公共設施工程","北埔鄉公所","無","文仁水電"
"新竹縣水上救生協會充實設備(5-4)","竹北市","98","98","一般建築及設備其它","公共設施工程","竹北市公所","逕洽廠商","魯迪沃夫"
"新竹縣新埔鎮照東國民小學充實設備費(8-12)","新埔鎮","52","52","一般建築及設備其它","公共設施工程","新埔鎮公所","逕洽廠商","東祺家具行"
"關西鎮新力里9鄰道路駁坎改善工程(21-12)","關西鎮","90","90","一般建築及設備其它","公共設施工程","關西鎮公所","無","開元實業社"
"關西鎮東山里6鄰粗坑溪清淤工程(21-13)","關西鎮","98","98","一般建築及設備其它","公共設施工程","關西鎮公所","無","開元實業社"
"芎林鄉文林社區發展協會充實設備(26-11)","芎林鄉","45","45","一般建築及設備其它","公共設施工程","芎林鄉公所","無","興邦行"
"芎林鄉五龍村集會所充實設備(26-12)","芎林鄉","98","98","一般建築及設備其它","公共設施工程","芎林鄉公所","無","辦理中"
"橫山鄉橫山村10鄰路燈工程(27-35)","橫山鄉","15","15","一般建築及設備其它","公共設施工程","橫山鄉公所","無","全宇水電"
"橫山鄉新興村廣場工程(27-36)","橫山鄉","40","40","一般建築及設備其它","公共設施工程","橫山鄉公所","無","辦理中"
"第 3 頁，共 16 頁新竹縣政府102年度對議員所提地方建設建議事項處理明細表"
"至102年12月止"
"單位：千元"
"核定金額","經費支用科目主辦機關招標方式","得標廠商"
"(本表為半年報)"
"核定情形","建議地點建議金額","建議項目及內容"
