"單位：千元"
" 核定金額","經","費","支","用","科","目","主","辦","機","關","招","標","方","式","得","標","廠","商"
"新埔鎮巨埔里1鄰51巷排水溝加蓋工程(25-18)","新埔鎮","60","60","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮鹿鳴里9鄰道路改善工程(25-19)","新埔鎮","49","49","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮田新里13鄰文德路3段106巷236號新設路燈乙盞(25-20)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"芎林鄉上山村9鄰道路改善工程(26-16)","芎林鄉","110","110","一般建築及設備其它公共設施工程","芎林鄉公所","開口契約","允鴻營造"
"芎林鄉石潭村9鄰48號旁道路改善工程(26-17)","芎林鄉","180","180","一般建築及設備其它公共設施工程","芎林鄉公所","開口契約","允鴻營造"
"芎林鄉五龍村3.9鄰道路改善工程(26-18)","芎林鄉","220","220","一般建築及設備其它公共設施工程","芎林鄉公所","開口契約","允鴻營造"
"芎林鄉水坑村道路工程(26-19)","芎林鄉","150","150","一般建築及設備其它公共設施工程","芎林鄉公所","開口契約","允鴻營造"
"芎林鄉飛鳳山入口處意象牌改善工程(26-20)","芎林鄉","13","13","一般建築及設備其它公共設施工程","芎林鄉公所","開口契約","允鴻營造"
"竹東鎮二重里民生路182巷6號.頭重里48號.上館里1鄰路燈工程(29-15)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行北埔鄉水磜社區發展協會充實社區設備(36-16)","北埔鄉","80","80","一般建築及設備其它公共設施工程","北埔鄉公所","辦理中","-"
"橫山鄉南昌村小型工程款(2-38)","橫山鄉","99","99","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","正昇土木"
"新竹縣竹北市東海社區發展協會充實設備(5-10)","竹北市","32","32","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"關西鎮新富里1鄰駁坎工程(21-16)","關西鎮","90","90","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","開元實業社"
"新埔鎮新北里5鄰51號旁設置路燈1盞(23-34)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮新北里6鄰48號旁設置路燈1盞(23-35)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮北平社區發展協會充實設備(23-36)","新埔鎮","40","40","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"尖石鄉義興村2鄰道路改善工程(27-26)","尖石鄉","90","90","一般建築及設備其它公共設施工程","尖石鄉公所","辦理中","-"
"橫山鄉大肚社區發展協會充實設備(27-27)","橫山鄉","27","27","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"新竹縣竹東鎮上館國民小學可調式多功能型T5節能燈具裝設工程(8-10)(17組)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","-"
"新竹縣竹東鎮大同國民小學改善學校環境(8-11)(飲水機1台)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"新豐鄉瑞興社區活動中心(媽媽教室)購置設備(17-8)","新豐鄉","30","30","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中"
"新豐鄉崎頂社區發展協會(媽媽教室)充實設備(17-9)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新竹縣竹東鎮上館國民小學改善教學環境(20-9)(無塵環保黑板7組)","竹東鎮","97","97","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","奕舟企業有限","公司"
"新埔鎮旱坑里活動中心管線工程(25-21)","新埔鎮","92","92","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","上展工程新埔鎮內立里關埔路雲東段106巷27弄新設路燈1盞(25-22)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮照門里14鄰道路整修工程(25-23)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"橫山鄉豐田村排水溝改善工程(27-28)","橫山鄉","60","60","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","成吉企業社"
"橫山鄉新興村1鄰排水溝工程(27-29)","橫山鄉","50","50","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","兆順土木"
"竹東鎮雞林里路燈工程(28-15)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行"
"竹東鎮上坪里路燈工程(28-16)","竹東鎮","45","45","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行"
"新竹縣五峰鄉桃山社區發展協會充實設備(30-18)","五峰鄉","100","100","一般建築及設備其它公共設施工程","五峰鄉公所","辦理中","-"
"竹東鎮榮樂里飲水設施(30-19)(註銷)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","-"
"關西鎮玉山里5鄰玉山國小旁村里道路鋪設柏油路面工程(2-39)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","龍騰土木包工"
"新竹縣新豐鄉忠孝村仁愛街76巷週邊水溝蓋工程(18-17)","新豐鄉","45","45","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","田羅工程行"
"關西鎮仁安里4鄰鋪設水泥路面工程(22-8)","關西鎮","150","150","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新埔鎮南平里南平路277巷農路鋪設水泥路面工程(25-24)","新埔鎮","70","70","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"新埔鎮南平里南平路567巷興建道路駁坎工程(25-25)","新埔鎮","150","150","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮旱坑里辦公處購買筆記型電腦乙組(25-26)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中"
"新埔鎮南平里351巷新設路燈乙盞(25-27)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程新埔鎮內立里關埔路雲南段雲南巷432弄興建駁坎工程(25-28)","新埔鎮","80","80","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中"
"竹東鎮三重里辦公處購置滅火器(29-16)","竹東鎮","90","90","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中"
"竹東鎮三重里水溝蓋工程(29-17)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","永和土木"
"北埔鄉大湖村5鄰上大湖58號之1旁道路駁坎改善工程(32-6)","北埔鄉","98","98","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","鈞華土木"
"寶山鄉寶斗村3鄰新珊一路68巷附近裝設路燈2盞(35-36)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村3鄰新珊一路113巷附近裝設路燈乙盞(35-37)","寶山鄉","15","15","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"寶山鄉寶斗村8鄰寶新路428巷附近裝設路燈乙盞(35-38)","寶山鄉","15","15","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"新竹縣政府警察局竹東分局花園派出所充實設備費(35-39)","五峰鄉","30","30","一般建築及設備其它公共設施工程","五峰鄉公所","逕洽廠商","騰福企業"
"關西鎮金山里6鄰鋪設柏油路面工程(21-17)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新埔鎮內立里4鄰段擋土牆工程(23-37)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","逕洽廠商","育杰營造"
"新埔鎮旱坑里6鄰民生街36弄柏油路面加封工程(25-29)","新埔鎮","70","70","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新竹縣竹東鎮大同國民小學改善學校環境設備(33-8)(音響設備)","竹東鎮","98","98","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"竹北分局六家派出所六家義警分隊充實設備費(5-11)(註銷)","竹北市","0","0","-","竹北市公所","-"
"新竹縣立博愛國民中學充實設備費(5-12)(液晶電視)","竹北市","30","30","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣竹北市光明國民小學工程款(6-7)(西側及南側人行步道工程)","竹北市","150","150","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-新豐鄉新豐社區發展協會購置歌唱班音響設備(17-10)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新豐鄉松柏村坪頂段公園週邊綠美化工程(17-11)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"橫山鄉南昌社區發展協會除草設備(27-30)","橫山鄉","15","15","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"橫山鄉橫山社區發展協會設備費(27-31)","橫山鄉","30","30","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"寶山鄉雙溪村雙園路二段附近裝設路燈2盞(35-41)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","開口契約","龍昌水電"
"竹北消防分隊充實設備費(6-8)","竹北市","100","100","一般建築及設備其它公共設施工程","竹北市公所","辦理中"
"新埔鎮照門里7鄰村道設置路燈1盞(8-12)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"湖口鄉新工分隊設備費(15-3)","湖口鄉","95","95","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"湖口鄉中勢村排水溝改善工程(15-4)","湖口鄉","90","90","一般建築及設備其它公共設施工程","湖口鄉公所","逕洽廠商","鶯鉅營造"
"竹東鎮員山里路燈工程(30-20)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成工程行"
"竹東鎮員山社區發展協會充實設備費(30-21)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"北埔鄉外坪村6鄰2號路燈工程(30-22)","北埔鄉","15","15","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","文仁水電"
"竹東鎮二重社區活動中心中式傳統花鼓器材設備(32-7)","竹東鎮","90","90","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"新竹縣竹東鎮大同國民小學飲水機設備(33-9)(3台)(註銷)","竹東鎮","0","0","-","竹東鎮公所","無","-"
"峨眉鄉七星社區發展協會充實社區設備費(36-17)","峨眉鄉","90","90","一般建築及設備其它公共設施工程","峨眉鄉公所","辦理中","-尖石鄉玉峰村8鄰馬美部落飲水.灌溉設施(38-10)","尖石鄉","98","98","一般建築及設備其它公共設施工程","尖石鄉公所","辦理中","-"
"新竹縣立仁愛國民中學中控室及教室廣播系統設備費(2-40)","竹北市","97.88","97.88","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣新豐鄉中崙社區發展協會(廣場舞蹈班)充實設備(18-18)","新豐鄉","38","38","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新竹縣立石光國民中學擴充設備(21-18)(比賽弓1組.比賽弓臂1副)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","恆準有限公司"
"關西鎮東平里18鄰南坑道路括寬工程(21-19)","關西鎮","98","98","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"關西鎮南山社區活動中心修繕工程(22-9)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"關西鎮南新里1鄰12號旁水泥路面鋪設(22-10)","關西鎮","50","50","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"關西鎮石光里486巷公共廁所興建(22-11)(不符公益)","關西鎮","150","150","一般建築及設備其它公共設施工程","關西鎮公所","-"
"橫山鄉內灣村10鄰路燈設置(27-32)","橫山鄉","24","24","一般建築及設備其它公共設施工程","橫山鄉公所","逕洽廠商","文明水電"
"竹東鎮東正社區發展協會(活動中心)裝設電扇.水槽設施(29-19)","竹東鎮","40","40","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"寶山鄉寶斗村新珊一路附近排水溝工程(35-42)","寶山鄉","80","80","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中","-"
"北埔鄉北埔村中豐路86巷邊路燈設置(36-18)","北埔鄉","20","20","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","文仁水電"
"新豐鄉後湖派出所充實設備(19-14)","新豐鄉","50","50","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新豐鄉坡頭社區發展協會充實設備(19-15)","新豐鄉","86","86","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新埔鎮照門里7鄰95號新設路燈乙盞(25-35)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程新埔鎮鹿鳴里3鄰33號新設路燈乙盞(25-36)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮清水里竹11線新設路燈乙盞(25-37)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮內立里內立街722巷駁坎工程(25-38)","新埔鎮","98","98","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮上寮里14鄰燒炭窩溪疏濬工程(25-39)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮田新里14鄰文德路149巷96弄道路柏油加封工程(25-41)","新埔鎮","70","70","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"橫山鄉力行社區發展協會設備費(27-33)","橫山鄉","50","50","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"新竹縣竹東鎮二重國民小學視聽教室改善工程(28-17)","竹東鎮","95","95","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","百藝行.大統","音響電器","新竹縣關西鎮關西國民小學充實設備費(35-43)","關西鎮","30","30","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新竹縣政府警察局竹北分局竹北所設備費(1-23)","竹北市","85","85","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣關西鎮石光國民小學購置榮譽榜展示櫃(8-13)","關西鎮","46","46","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新豐鄉埔和村排水溝改善工程(17-12)","新豐鄉","98","98","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中"
"關西鎮上林里10鄰排水溝加蓋工程(21-20)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","開元實業社"
"新埔鎮清水里7鄰路燈乙盞(23-38)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新竹縣立自強國民中學充實設備(飲水機3台)(33-10)","竹東鎮","98","98","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中"
"五峰鄉桃山村飲用水設施(37-8)","五峰鄉","50","50","一般建築及設備其它公共設施工程","五峰鄉公所","辦理中","-新埔鎮旱坑里路樹整修維護(25-40)","新埔鎮","36","36","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"鳳岡派出所充實設備費(5-13)","竹北市","30","30","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"竹北分局湖鏡派出所充實設備(11-6)","竹北市","98","98","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"橫山鄉各村路燈工程(27-34)","橫山鄉","50","50","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中"
"橫山鄉沙坑村2鄰擋土牆工程(27-35)","橫山鄉","50","50","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"橫山鄉橫山村5鄰排水溝改善(27-36)","橫山鄉","80","80","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"關西鎮錦山里駁坎及水泥路面工程(37-9)","關西鎮","95","95","一般建築及設備其它公共設施工程","關西鎮公所","逕洽廠商","龍騰土木包工"
"新豐鄉青埔村8鄰廣場工程(20-10)","新豐鄉","50","50","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新豐鄉中崙村4鄰道路農路工程(20-11)","新豐鄉","99","99","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"關西鎮南新里1鄰水泥路面鋪設工程(22-12)","關西鎮","48","48","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"竹東鎮商華里森林公園設備費(健身器材)(29-20)","竹東鎮","98","98","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","旭榕景觀"
"芎林鄉新鳳村辦公室購置滅火器(33-11)","芎林鄉","20","20","一般建築及設備其它公共設施工程","芎林鄉公所","逕洽廠商","竹安消防"
"竹北市社區道路監視系統設置(1-24)","竹北市","1000","1000","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新豐鄉上坑村12鄰綠美化工程(17-13)","新豐鄉","95","95","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新埔鎮和平街238巷新設路燈乙盞(25-42)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮內立里關埔路內立段155號小型工程(25-43)","新埔鎮","6","6","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-新埔鎮新北里7鄰新設路燈乙盞(25-44)","新埔鎮","40","40","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"竹東鎮柯湖里3段377巷路燈設置(33-12)","竹東鎮","20","20","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成"
"竹北市社區道路監視系統設置(1-25)","竹北市","500","500","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"湖口鄉湖口村柏油路面改善工程(15-5)","湖口鄉","150","150","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"新豐鄉員山村5鄰排水溝興建工程(18-19)","新豐鄉","60","60","一般建築及設備其它公共設施工程","新豐鄉公所","逕洽廠商","梅丹工程"
"新豐鄉山崎社區發展協會(樂詠班)充實設備(18-20)","新豐鄉","18","18","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"關西鎮南和里6鄰蔣盛材宅旁AC路面鋪設工程(22-13)","關西鎮","90","90","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"關西鎮東光里4鄰英國小鎮社區旁擋土牆修復(22-14)","關西鎮","90","90","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新竹縣寶山鄉新城社區發展協會充實設備費(35-44)","寶山鄉","29","29","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中","-"
"新竹縣政府警察局行政科設備費(2-41)","竹北市","80","80","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣湖口鄉和興國民小學充實設備(11-7)","湖口鄉","80","80","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"北埔鄉水磜村6鄰及7鄰路燈工程(36-19)","北埔鄉","10","10","一般建築及設備其它公共設施工程","北埔鄉公所","逕洽廠商","文仁水電"
"新竹縣北埔鄉衛生所增設x光自動洗片機(36-20)(不予補助)","北埔鄉","0","0","-","北埔鄉公所","-"
"北埔鄉水磜村7鄰坑溝改善工程(2-42)","北埔鄉","1000","1000","一般建築及設備其它公共設施工程","北埔鄉公所","辦理中","-"
"新竹縣竹北市豐田國民小學設備費(智慧教室建置)(2-43)","竹北市","500","500","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-芎林鄉下山村社區發展協會設備費(影印機)(2-44)","芎林鄉","55","55","一般建築及設備其它公共設施工程","芎林鄉公所","辦理中","-"
"竹北市莊敬南路與文興路口公園(公26)小型工程(9-5)","竹北市","42","42","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"高鐵世興壘球場外野區草皮復育(10-9)","竹北市","100","100","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣湖口鄉和興國民小學充實設備(12-7)","湖口鄉","85","85","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"新埔鎮鹿鳴里12鄰段道路改善工程(23-39)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮鹿鳴里4鄰31號旁設置路燈1盞(23-40)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮鹿鳴里6鄰52號旁設置路燈2盞(23-41)","新埔鎮","40","40","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮旱坑里環境綠美化(23-42)","新埔鎮","35","35","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"橫山鄉橫山村村里小型工程(23-43)","橫山鄉","90","90","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"新竹縣新埔鎮新北社區發展協會購置電腦設備(25-45)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮清水社區活動中心購買冷氣設備(25-46)(註銷)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","-"
"橫山鄉大肚村12鄰路燈工程(27-37)","橫山鄉","16","16","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"竹東鎮五豐里沙坑溪聯外道路路樹整修維護(28-18)","竹東鎮","60","60","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","冠勳土木包工"
"竹東鎮上坪里1鄰欄杆工程(28-19)","竹東鎮","98","98","一般建築及設備其它公共設施工程","竹東鎮公所","逕洽廠商","峰華營造"
"新竹縣竹東鎮中興路一段測速照相設備遷移(33-13)","竹東鎮","45","45","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-尖石鄉秀巒村9鄰鎮西堡部落飲水設施(38-11)","尖石鄉","99","99","一般建築及設備其它公共設施工程","尖石鄉公所","辦理中","-"
"尖石鄉秀巒村田埔部落灌溉設施(38-12)","尖石鄉","95","95","一般建築及設備其它公共設施工程","尖石鄉公所","辦理中","-"
"尖石鄉秀巒村泰崗7鄰部落灌溉設施(38-13)","尖石鄉","90","90","一般建築及設備其它公共設施工程","尖石鄉公所","辦理中","-"
"竹東鎮惠昌街44巷路面改善工程(33-14)","竹東鎮","200","200","一般建築及設備其它公共設施工程","竹東鎮公所","公開招標","辦理中"
"竹東鎮大同社區發展協會設備費(1-26)","竹東鎮","30","30","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"新竹縣橫山鄉田寮國民小學充實設備(9-6)(冷氣1台)","橫山鄉","20","20","一般建築及設備其它公共設施工程","橫山鄉公所","辦理中","-"
"湖口鄉中正村湖中路22巷駁坎工程(16-10)","湖口鄉","300","300","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-"
"新埔鎮寶石里11鄰台蓄街25巷溝渠疏濬工程(25-47)","新埔鎮","12","12","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮田新里路樹整修維護(25-48)","新埔鎮","30","30","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中"
"新埔鎮文山里褒忠路245巷157弄柏油路面加封補修工程(25-49)","新埔鎮","60","60","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"竹東鎮頭重里竹美路76巷內排水溝工程(30-23)","竹東鎮","100","100","一般建築及設備其它公共設施工程","竹東鎮公所","辦理中","-"
"竹東鎮外五里路燈設置(30-24)","竹東鎮","50","50","一般建築及設備其它公共設施工程","竹東鎮公所","開口契約","明成"
"芎林鄉下山村社區發展協會設備費(電腦)(2-45)","芎林鄉","45","45","一般建築及設備其它公共設施工程","芎林鄉公所","逕洽廠商","永氨企業社"
"新竹縣寶山鄉雙溪社區發展協會充實設備(11-8)","寶山鄉","30","30","一般建築及設備其它公共設施工程","寶山鄉公所","辦理中","-"
"湖口鄉長嶺村道路復舊工程(15-6)","湖口鄉","95","95","一般建築及設備其它公共設施工程","湖口鄉公所","辦理中","-新埔鎮巨埔里新龍路1086巷擋土牆工程(23-44)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮旱坑里旱坑路1段283巷53號旁路燈1盞設置(23-45)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮文山里農路加封水泥路面工程(23-46)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮旱坑里旱坑路1段283巷旁路燈1盞設置(23-47)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"關西鎮玉山里5-6鄰設置路燈3盞(23-48)","關西鎮","54","54","一般建築及設備其它公共設施工程","關西鎮公所","開口契約","明成"
"竹東鎮河濱公園槌球場拆卸式看台及欄杆增設工程(31-9)","竹東鎮","100","100","一般建築及設備其它公共設施工程","竹東鎮公所","公開招標","辦理中"
"竹東鎮河濱公園槌球場拆卸式看台及欄杆增設工程(32-8)","竹東鎮","200","200","一般建築及設備其它公共設施工程","竹東鎮公所","公開招標","辦理中"
"竹東鎮河濱公園槌球拆卸式看台及欄杆增設工程(33-15)","竹東鎮","150","150","一般建築及設備其它公共設施工程","竹東鎮公所","公開招標","辦理中"
"新埔鎮鹿鳴里1鄰村里聯絡道路擋土牆改善工程(2-46)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮鹿鳴里8鄰村里聯絡道路擋土牆改善工程(2-47)","新埔鎮","100","100","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新竹縣竹北市十興國民小學充實設備費(5-14)","竹北市","68","68","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新竹縣政府警察局竹北分局高鐵派出所小型工程(9-7)","竹北市","90","90","一般建築及設備其它公共設施工程","竹北市公所","辦理中","-"
"新豐鄉鳳坑村9鄰-10鄰路面及橋面改善工程(20-12)","新豐鄉","90","90","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新豐鄉上坑村1鄰103號道路工程(20-13)","新豐鄉","90","90","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-"
"新豐鄉鳳坑村駁坎工程(20-14)","新豐鄉","90","90","一般建築及設備其它公共設施工程","新豐鄉公所","辦理中","-關西鎮南新里12鄰鋪設水泥路面工程(21-21)","關西鎮","70","70","一般建築及設備其它公共設施工程","關西鎮公所","辦理中","-"
"新埔鎮文山里農路加封水泥路面工程(23-49)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮內立里設置路燈4盞(23-50)","新埔鎮","80","80","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮文山里亞東段路燈設置1盞(23-51)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮上寮里2段491巷23弄路口設置路燈1盞(23-52)","新埔鎮","20","20","一般建築及設備其它公共設施工程","新埔鎮公所","開口契約","坤和工程"
"新埔鎮照門里照鏡10鄰道路及駁坎工程(25-50)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新竹縣新埔鎮北平國民小學教室新建木質地板工程(25-51)","新埔鎮","90","90","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮上寮里義民路2段530巷水泥路面及排水工程(25-52)","新埔鎮","40","40","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
"新埔鎮文山里27鄰文山路犁頭山段818巷柏油路面加封工程(25-53)","新埔鎮","50","50","一般建築及設備其它公共設施工程","新埔鎮公所","辦理中","-"
